8455,8650,8455,8570
8420,8490,8340,8445
8655,8655,8450,8495
8410,8680,8385,8570
8400,8550,8400,8455
8500,8555,8440,8470
8585,8640,8480,8485
8500,8640,8475,8515
8310,8495,8310,8430
8420,8500,8320,8325
8645,8665,8460,8470
8795,8825,8675,8675
8775,8890,8760,8790
8475,8875,8475,8810
8575,8575,8510,8535
8660,8730,8540,8540
8640,8775,8640,8740
8805,8805,8685,8700
8740,8820,8740,8780
8505,8820,8450,8820
8520,8520,8390,8415
8525,8585,8485,8535
8640,8675,8515,8550
8615,8615,8495,8560
8500,8570,8465,8570
8305,8500,8305,8500
8350,8415,8350,8355
8225,8390,8225,8360
8200,8295,8120,8265
8010,8195,8010,8150
7840,8120,7795,8050
7570,7705,7520,7705
7590,7605,7560,7605
7550,7600,7525,7550
7530,7605,7500,7560
7500,7525,7415,7495
7660,7735,7505,7505
7715,7785,7660,7715
7770,7815,7745,7750
7790,7825,7745,7775
7760,7770,7725,7745
7690,7740,7650,7710
7770,7770,7695,7710
7740,7760,7675,7725
7680,7775,7680,7735
7615,7685,7570,7685
7570,7630,7530,7535
7660,7680,7550,7590
7700,7775,7670,7685
7475,7670,7475,7665
7385,7555,7365,7530
7315,7465,7315,7450
7400,7425,7345,7355
7285,7435,7285,7410
7255,7315,7230,7300
7320,7325,7240,7300
7315,7340,7250,7305
7210,7390,7200,7355
7190,7275,7150,7275
7215,7245,7130,7180
7210,7300,7150,7285
7095,7225,7025,7210
7260,7275,7115,7145
7240,7255,7190,7245
7240,7255,7180,7250
7190,7215,7170,7205
7155,7250,7155,7235
7165,7240,7165,7225
7145,7195,7110,7195
7220,7220,7100,7190
7050,7215,7050,7210
6900,7110,6865,7110
6835,6985,6835,6970
6785,6970,6785,6910
6710,6865,6710,6815
6660,6810,6645,6745
6960,6960,6635,6665
7015,7015,6790,6805
6945,7035,6900,6945
7160,7210,6995,7000
7180,7250,7140,7195
7125,7180,7095,7155
7455,7455,7180,7180
7640,7655,7445,7475
7545,7645,7500,7590
7390,7525,7355,7475
7385,7395,7245,7370
7270,7280,7145,7255
7300,7350,7180,7245
7235,7380,7165,7260
7540,7565,7110,7240
7550,7835,7240,7550
7810,7940,7810,7920
7875,7905,7785,7845
7755,7895,7685,7875
7620,7720,7575,7700
7530,7570,7480,7570
7545,7610,7510,7570
7395,7630,7380,7630
7580,7675,7410,7410
7545,7670,7500,7635
7425,7565,7425,7525
7605,7665,7340,7540
7615,7705,7560,7705
7735,7740,7605,7610
7830,7830,7650,7770
7715,7765,7690,7700
7840,7840,7740,7750
7790,7860,7690,7810
7860,7945,7825,7835
7995,8020,7865,7865
8055,8085,7995,8000
8015,8120,8015,8075
8040,8105,7995,8070
8090,8150,8055,8055
8055,8175,8025,8100
8170,8240,8100,8100
8135,8285,8055,8180
8325,8410,8170,8170
8440,8535,8335,8345
8630,8655,8455,8455
8690,8725,8630,8640
8715,8760,8665,8665
8665,8795,8665,8755
8635,8745,8570,8700
8515,8715,8515,8660
8700,8700,8525,8525
8580,8652.03,8580,8620
8630,8695,8560,8600
8650,8715,8577.5,8675
8325,8655,8325,8615
8300,8410,8200,8365
8380,8505,8269.41,8485
8500,8500,8360,8360
8435,8575,8435,8465
8440,8485,8400.12,8485
8510,8575,8380,8575
8450,8560,8370,8560
8130,8494.87,8080,8420
8150,8165,7895,8070
8290,8300,8085,8095
8310,8355,8224.34,8315
8430,8470,8263.07,8320.5
8435,8445,8390,8403.6
8585,8585,8405,8415
8370,8560,8370,8560
8345,8410,8300,8380
8545,8545,8360,8360
8370,8505,8370,8500
